Date,LEVEL
2018-07-05 14:10:00,
2018-07-05 14:20:00,
2018-07-05 14:30:00,
2018-07-05 14:40:00,
2018-07-05 14:50:00,0.20505
2018-07-05 15:00:00,0.20625
2018-07-05 15:10:00,0.2076
2018-07-05 15:20:00,0.20805
2018-07-05 15:30:00,0.2071
2018-07-05 15:40:00,0.2069
2018-07-05 15:50:00,0.2065
2018-07-05 16:00:00,0.20605
2018-07-05 16:10:00,0.20695
2018-07-05 16:20:00,0.208
2018-07-05 16:30:00,0.2065
2018-07-05 16:40:00,0.20615
2018-07-05 16:50:00,0.2072
2018-07-05 17:00:00,0.2069
2018-07-05 17:10:00,0.20485
2018-07-05 17:20:00,0.2046
2018-07-05 17:30:00,0.20505
2018-07-05 17:40:00,0.20555
2018-07-05 17:50:00,0.2062
2018-07-05 18:00:00,0.2061
2018-07-05 18:10:00,0.2049
2018-07-05 18:20:00,0.20355
2018-07-05 18:30:00,0.2048
2018-07-05 18:40:00,0.206
2018-07-05 18:50:00,0.2051
2018-07-05 19:00:00,0.2052
2018-07-05 19:10:00,0.2072
2018-07-05 19:20:00,0.2082
2018-07-05 19:30:00,0.2064
2018-07-05 19:40:00,0.2063
2018-07-05 19:50:00,0.2101
2018-07-05 20:00:00,0.20845
2018-07-05 20:10:00,0.20565
2018-07-05 20:20:00,0.20845
2018-07-05 20:30:00,0.20675
2018-07-05 20:40:00,0.205
2018-07-05 20:50:00,0.2076
2018-07-05 21:00:00,0.207
2018-07-05 21:10:00,0.2048
2018-07-05 21:20:00,0.20285
2018-07-05 21:30:00,0.20355
2018-07-05 21:40:00,0.2051
2018-07-05 21:50:00,0.206
2018-07-05 22:00:00,0.20555
2018-07-05 22:10:00,0.20495
2018-07-05 22:20:00,0.20605
2018-07-05 22:30:00,0.20645
2018-07-05 22:40:00,0.2057
2018-07-05 22:50:00,0.20705
2018-07-05 23:00:00,0.2075
2018-07-05 23:10:00,0.2064
2018-07-05 23:20:00,0.20725
2018-07-05 23:30:00,0.20635
2018-07-05 23:40:00,0.2044
2018-07-05 23:50:00,0.20635
2018-07-06 00:00:00,0.2054
2018-07-06 00:10:00,0.20355
2018-07-06 00:20:00,0.20075
2018-07-06 00:30:00,0.2026
2018-07-06 00:40:00,0.20615
2018-07-06 00:50:00,0.20505
2018-07-06 01:00:00,0.2057
2018-07-06 01:10:00,0.2059
2018-07-06 01:20:00,0.2038
